idade,pontuação,anos escolares,ganho de capital,perda de capital,horas semanais,renda,classe
42,160369,9,0,0,40, >50K,0
44,150171,9,0,0,40, <=50K,1
39,256997,13,0,0,40, <=50K,1
39,147548,9,0,0,40, <=50K,1
29,106179,10,0,1408,40, <=50K,1
50,219420,16,0,0,64, <=50K,1
54,124963,13,0,0,40, >50K,0
26,37023,10,0,0,78, <=50K,1
44,157249,13,0,1977,50, >50K,0
39,347814,12,0,0,56, <=50K,1
36,116608,9,0,0,38, <=50K,1
23,174714,6,0,0,60, <=50K,1
55,189933,4,0,0,50, <=50K,1
20,56322,10,0,0,20, <=50K,1
25,308144,13,0,0,40, <=50K,1
23,243190,10,0,0,20, <=50K,1
52,290856,13,0,0,40, >50K,0
41,287306,12,15024,0,60, >50K,0
44,102238,9,0,0,40, <=50K,1
64,22186,10,0,0,35, <=50K,1
29,253262,10,0,0,40, <=50K,1
23,199884,9,0,0,45, <=50K,1
36,416745,13,0,0,40, <=50K,1
18,280728,10,0,0,32, <=50K,1
51,42017,10,0,0,40, <=50K,1
18,150817,9,0,0,20, <=50K,1
32,244147,13,0,1876,50, <=50K,1
60,81578,5,0,0,40, <=50K,1
63,268965,8,0,0,40, <=50K,1
43,111252,10,0,0,42, <=50K,1
43,240170,13,0,0,50, <=50K,1
22,108506,11,0,0,75, <=50K,1
28,109162,14,0,0,50, <=50K,1
51,341548,10,0,0,40, <=50K,1
46,116635,13,0,0,36, <=50K,1
38,127772,9,0,0,50, <=50K,1
28,184831,10,0,0,40, <=50K,1
31,223327,9,0,0,40, >50K,0
43,134026,10,2174,0,40, <=50K,1
26,28366,13,0,0,40, <=50K,1
37,245053,10,0,1504,40, <=50K,1
33,207937,9,0,1092,40, <=50K,1
18,111256,9,0,0,20, <=50K,1
36,113481,9,0,0,40, <=50K,1
27,160731,13,0,0,40, <=50K,1
22,134746,6,0,0,40, <=50K,1
38,150057,10,0,0,45, <=50K,1
23,344394,10,0,0,40, <=50K,1
43,598606,5,0,0,50, <=50K,1
54,279881,11,0,0,40, <=50K,1
59,107833,6,0,1485,40, >50K,0
33,281784,13,0,1564,52, >50K,0
