Tempo,Corrente
0,38.963
1,37.015
2,37.031
3,37.319
4,37.098
5,36.995
6,36.805
7,36.974
8,37.407
9,36.933
10,36.917
11,36.998
12,37.073
13,37.181
14,36.823
15,36.794
16,36.801
17,36.691
18,36.73
19,36.664
20,36.555
21,36.585
22,36.657
23,36.573
24,36.475
25,36.526
26,36.526
27,36.452
28,36.363
29,36.495
30,36.493
31,36.536
32,36.481
33,36.479
34,36.296
35,36.234
36,36.257
37,36.293
38,36.458
39,36.42
40,36.299
41,36.095
42,36.022
43,36.055
44,36.082
45,35.982
46,36.006
47,36.0
48,36.024
49,35.877
50,35.792
51,35.844
52,35.758
53,35.981
54,35.862
55,35.781
56,35.801
57,35.807
58,35.848
59,35.659
60,35.479
61,35.521
62,35.611
63,35.611
64,35.627
65,35.49
66,35.281
67,35.322
68,35.544
69,35.309
70,35.055
71,35.228
72,35.505
73,35.733
74,35.599
75,35.404
76,35.284
77,35.222
78,35.249
79,35.055
80,34.684
81,34.406
82,34.558
83,34.985
84,34.877
85,34.533
86,34.55
87,34.547
88,34.417
89,34.386
90,34.356
91,34.146
92,34.131
93,34.103
94,34.149
95,34.129
96,34.03
97,33.92
98,33.867
99,33.828
100,33.662
101,33.408
102,33.373
103,33.744
104,33.716
105,33.194
106,32.695
107,32.46
108,32.492
109,32.549
110,32.591
111,32.609
112,32.612
113,32.581
114,32.325
115,32.157
116,32.166
117,31.991
118,31.866
119,31.794
120,31.704
121,31.503
122,31.386
123,31.315
124,31.094
125,31.053
126,30.755
127,30.448
128,30.389
129,30.268
130,30.034
131,29.752
132,29.499
133,29.447
134,29.369
135,29.139
136,28.777
137,28.449
138,28.27
139,27.975
140,27.738
141,27.54
142,27.178
143,26.86
144,26.603
145,26.38
146,26.009
147,25.626
148,25.324
149,25.013
150,24.589
151,24.184
152,23.7
153,23.332
154,22.9
155,22.433
156,21.994
157,21.412
158,21.002
159,20.588
160,20.072
161,19.442
162,18.831
163,18.445
164,17.885
165,17.221
166,16.69
167,16.181
168,15.719
169,15.084
170,14.51
171,14.106
172,13.553
173,12.928
174,12.324
175,11.897
176,11.542
177,11.046
178,10.675
179,10.276
180,9.915
181,9.594
182,9.228
183,8.969
184,8.567
185,8.326
186,8.17
187,7.932
188,7.814
189,7.673
190,7.56
191,7.39
192,7.242
193,7.274
194,7.126
195,7.0
196,6.954
197,6.918
198,6.891
199,6.767
200,6.767
201,6.731
202,6.634
203,6.689
204,6.653
205,6.678
206,6.617
207,6.511
208,6.541
209,6.498
210,6.57
211,6.543
212,6.441
213,6.574
214,6.584
215,6.526
216,6.471
217,6.449
218,6.536
219,6.43
220,6.492
221,6.553
222,6.481
223,6.532
224,6.451
225,6.492
226,6.413
227,6.358
228,6.485
229,6.47
230,6.491
231,6.44
232,6.35
233,6.446
234,6.439
235,6.519
236,6.477
237,6.394
238,6.5
239,6.478
240,6.482
241,6.466
242,6.405
243,6.478
244,6.442
245,6.528
246,6.51
247,6.423
248,6.475
